                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.52432,                0.94433,                 1.0131,                0.78662,                0.73745,                0.74158,                0.59587,                 0.8529,                 1.8056,                 1.3073,                0.00018,                0.00018,                0.00018
                      2,                0.51149,                0.82657,                0.99486,                0.83328,                0.71403,                0.81116,                 0.6665,                0.78011,                 1.5397,                 1.2443,             0.00037248,             0.00037248,             0.00037248
                      3,                0.57009,                0.83169,                 1.0324,                0.66529,                0.68571,                0.70118,                 0.5252,                0.92774,                  1.878,                 1.3356,             0.00055703,             0.00055703,             0.00055703
                      4,                0.59363,                0.82016,                 1.0347,                0.87293,                0.71429,                0.75692,                0.61468,                0.86982,                 1.6447,                 1.3472,             0.00073367,             0.00073367,             0.00073367
                      5,                0.60939,                0.91282,                 1.0643,                0.78185,                0.77143,                 0.8001,                0.52348,                 1.0467,                 1.7144,                 1.3971,             0.00090238,             0.00090238,             0.00090238
                      6,                0.65032,                 1.0039,                 1.0776,                 0.6137,                0.71429,                0.73954,                0.50495,                 1.0189,                 1.5821,                 1.4163,              0.0010632,              0.0010632,              0.0010632
                      7,                0.60702,                0.85652,                 1.0393,                0.57337,                0.53772,                0.59922,                0.41936,                 1.0774,                 1.7511,                 1.6552,              0.0012161,              0.0012161,              0.0012161
                      8,                0.57192,                0.81775,                 1.0091,                0.62264,                    0.6,                0.65405,                0.44546,                 1.0903,                 1.7659,                 1.5844,               0.001361,               0.001361,               0.001361
                      9,                0.66443,                0.85361,                 1.0681,                0.69794,                0.45714,                0.55515,                0.39116,                 1.0787,                  1.945,                  1.459,               0.001498,               0.001498,               0.001498
                     10,                0.63539,                0.87153,                 1.0619,                 0.4799,                0.51429,                0.43174,                0.29888,                 1.3022,                 1.9902,                  1.578,              0.0016272,              0.0016272,              0.0016272
                     11,                 0.6224,                 0.8098,                 1.0473,                 0.6874,                0.65714,                0.67073,                0.47594,                 1.0122,                 1.6319,                   1.39,               0.001604,               0.001604,               0.001604
                     12,                 0.6102,                 0.7879,                 1.0443,                0.77167,                0.65714,                0.69776,                0.48495,                  1.135,                 1.6535,                 1.6482,               0.001604,               0.001604,               0.001604
                     13,                0.63697,                0.76833,                 1.0584,                0.68733,                0.43996,                 0.5306,                0.30654,                 1.3993,                 2.1107,                 1.8739,              0.0015644,              0.0015644,              0.0015644
                     14,                0.62289,                0.73821,                 1.0422,                0.69159,                0.57143,                0.58707,                0.34267,                 1.3308,                 1.6406,                 1.8035,              0.0015248,              0.0015248,              0.0015248
                     15,                0.61979,                0.77994,                 1.0368,                0.55172,                0.51429,                0.53346,                0.33958,                 1.3518,                 1.9058,                 1.8125,              0.0014852,              0.0014852,              0.0014852
                     16,                0.61305,                0.74386,                 1.0428,                0.60755,                0.75206,                0.67979,                0.42504,                 1.0994,                 2.0739,                 1.4194,              0.0014456,              0.0014456,              0.0014456
                     17,                0.56429,                0.69912,                 1.0215,                0.75669,                0.65714,                0.67372,                0.50186,                 1.0234,                 1.7366,                 1.4509,               0.001406,               0.001406,               0.001406
                     18,                0.60864,                0.70918,                 1.0274,                0.70789,                0.65714,                0.67041,                0.39699,                 1.2575,                 1.7262,                 1.6749,              0.0013664,              0.0013664,              0.0013664
                     19,                0.56008,                0.70077,                 1.0019,                0.85831,                0.77143,                0.79514,                0.49699,                 1.1362,                 1.9324,                 1.4974,              0.0013268,              0.0013268,              0.0013268
                     20,                0.57022,                0.70156,                 1.0283,                 0.9218,                0.67388,                0.74279,                0.51631,                0.99546,                 1.8123,                 1.3637,              0.0012872,              0.0012872,              0.0012872
